"Benchmark","Proof","Length","LU(p)","RP(p)","RPI(p)","RPI(LU(p))","LU(RPI(p))"
"JNH",203.000000000000000,575.000000000000000,0.0957,0.0226,0.0278,0.0991,0.0957
"JNH",206.000000000000000,"1,138.000000000000000",0.1617,0.0641,0.0826,0.1845,0.1845
"JNH",208.000000000000000,731.000000000000000,0.1587,0.0616,0.0670,0.1737,0.1737
"JNH",211.000000000000000,410.000000000000000,0.0683,0.0146,0.2390,0.0732,0.2439
"JNH",214.000000000000000,746.000000000000000,0.1568,0.0764,0.0777,0.1689,0.1689
"JNH",215.000000000000000,338.000000000000000,0.0266,0.0148,0.0148,0.0355,0.0355
"JNH",216.000000000000000,"1,011.000000000000000",0.0841,0.1088,0.1128,0.1573,0.1484
"JNH",219.000000000000000,"1,133.000000000000000",0.0574,0.0406,0.0477,0.0777,0.0741
"JNH",302.000000000000000,57.000000000000000,0.2105,0.0351,0.0351,0.2105,0.2105
"JNH",303.000000000000000,636.000000000000000,0.0660,0.0346,0.0456,0.0786,0.0770
"JNH",304.000000000000000,93.000000000000000,0.1505,0.0108,0.0108,0.1505,0.1505
"JNH",305.000000000000000,422.000000000000000,0.0498,0.0071,0.0190,0.4716,0.0664
"JNH",306.000000000000000,"2,931.000000000000000",0.0157,0.0287,0.0611,0.0764,0.0764
"JNH",307.000000000000000,138.000000000000000,0.1957,0.0217,0.0217,0.2391,0.1957
"JNH",308.000000000000000,290.000000000000000,0.1207,0.0345,0.0448,0.1586,0.1586
"JNH",309.000000000000000,135.000000000000000,0.2000,0.0148,0.0148,0.2000,0.2000
"JNH",310.000000000000000,28.000000000000000,0.1071,0.0000,0.0000,0.1071,0.1071
