((A → A) → A), 108595.0, -1, 276067.0, -1, 1096.0, -1
(A → (A → A)), 360667.0, 3, 54519.0, 3, 24213.0, 3
((B → A) → A), 726.0, -1, 23376.0, -1, 1626.0, -1
(B → (A → A)), 650.0, 3, 1103.0, 3, 1098.0, 3
((A → B) → A), 621.0, -1, 871.0, -1, 925.0, -1
(A → (B → A)), 807.0, 3, 1124.0, 3, 10737.0, 3
((B → B) → A), 605.0, -1, 888.0, -1, 851.0, -1
(B → (B → A)), 835.0, -1, 1260.0, -1, 17647.0, -1
((C → B) → A), 644.0, -1, 878.0, -1, 975.0, -1
(C → (B → A)), 12871.0, -1, 1675.0, -1, 1638.0, -1
